name,id,sis,term,groupCategories
Survey of Accounting,36544,C.Online.2019.Winter.ACCTG 180.10,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,36546,C.Online.2019.Winter.ACCTG 180.11,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,37324,C.Online.2019.Winter.ACCTG 180.12,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,39060,C.Online.2019.Winter.ACCTG 180.13,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,38626,C.Online.2019.Winter.ACCTG 180.14,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,36534,C.Online.2019.Winter.ACCTG 180.5,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,36536,C.Online.2019.Winter.ACCTG 180.6,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,36538,C.Online.2019.Winter.ACCTG 180.7,Winter 2019,ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,36540,C.Online.2019.Winter.ACCTG 180.8,Winter 2019,Introduction Group|ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Survey of Accounting,36542,C.Online.2019.Winter.ACCTG 180.9,Winter 2019,ACCTG 180 9th Discussion Group|ACCTG 180 1st Discussion Group |ACCTG 180 2nd Discussion Group |ACCTG 180 3rd Discussion Group |ACCTG 180 4th Discussion Group |
Financial Accounting,37048,C.Online.2019.Winter.ACCTG 201.10,Winter 2019,ACCTG 201 Homework Support Discussion Group|ACCTG 201 W08 Ethics Discussion Group|ACCTG 201 Presenters|
Financial Accounting,37050,C.Online.2019.Winter.ACCTG 201.11,Winter 2019,ACCTG 201 Homework Support Discussion Group|ACCTG 201 W08 Ethics Discussion Group|ACCTG 201 Presenters|
Financial Accounting,37052,C.Online.2019.Winter.ACCTG 201.12,Winter 2019,ACCTG 201 Homework Support Discussion Group|ACCTG 201 W08 Ethics Discussion Group|ACCTG 201 Presenters|
Financial Accounting,37054,C.Online.2019.Winter.ACCTG 201.13,Winter 2019,ACCTG 201 Homework Support Discussion Group|ACCTG 201 W08 Ethics Discussion Group|ACCTG 201 Presenters|
Financial Accounting,37056,C.Online.2019.Winter.ACCTG 201.14,Winter 2019,ACCTG 201 Homework Support Discussion Group|ACCTG 201 W08 Ethics Discussion Group|ACCTG 201 Presenters|
